 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Capítulo CID-10 e Sexo
Período:2022
"Capítulo CID-10";"Masc";"Fem";"Ign";"Total"
"I.   Algumas doenças infecciosas e parasitárias";17456;14514;2;31972
"II.  Neoplasias (tumores)";31279;29502;3;60784
"III. Doenças sangue órgãos hemat e transt imunitár";724;819;-;1543
"IV.  Doenças endócrinas nutricionais e metabólicas";8649;9618;1;18268
"V.   Transtornos mentais e comportamentais";1955;1434;-;3389
"VI.  Doenças do sistema nervoso";5998;7994;1;13993
"VII. Doenças do olho e anexos";3;-;-;3
"VIII.Doenças do ouvido e da apófise mastóide";38;24;-;62
"IX.  Doenças do aparelho circulatório";52324;47190;4;99518
"X.   Doenças do aparelho respiratório";21949;20765;1;42715
"XI.  Doenças do aparelho digestivo";11381;7605;-;18986
"XII. Doenças da pele e do tecido subcutâneo";942;1255;-;2197
"XIII.Doenças sist osteomuscular e tec conjuntivo";689;983;-;1672
"XIV. Doenças do aparelho geniturinário";6709;8718;1;15428
"XV.  Gravidez parto e puerpério";-;243;-;243
"XVI. Algumas afec originadas no período perinatal";1862;1455;10;3327
"XVII.Malf cong deformid e anomalias cromossômicas";1102;957;14;2073
"XVIII.Sint sinais e achad anorm ex clín e laborat";8768;6150;20;14938
"XIX. Lesões enven e alg out conseq causas externas";-;-;-;-
"XX.  Causas externas de morbidade e mortalidade";17828;6288;18;24134
"XXI. Contatos com serviços de saúde";-;-;-;-
"XXII.Códigos para propósitos especiais";-;-;-;-
"Total";189656;165514;75;355245
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2023. Data da atualização dos dados 12/2024.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
